Legends:
 - P: time periods since still exists and alive the address # 0: 0-1h, 1: 1h-3h, 2: 3h-12h, 3: 12h-24h, 4: 1d-3d, 5: 3d-1w, 6: 1w-1m,  7: 1-3m, 8:>3m
 - CurV: Current Balance of the address (now)
 - MaxV: Max blance in the last 3 months
 - CHG%: diff between current and max(3m) balance
 - 1h%: balance change in the last hour
 - 3h%: balance change in last three hours
 [...] 
 - 3m%: balance change in last three months
--------------------------------------------------------------------------------------------------------------------
                           address P    CurV    MaxV    CHG%     1h%     3h%    12h%     1d%     1w%     1m%     3m%  
1NQEV6T4avmPqUVTvgsKkeB6yc8qnSWfhR 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1NJQZhzYac89fDhQCmb1khdjekKNVYLFMY 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1DaCQDfStUgkPQXcf53Teeo6LPiKcVMBM9 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
15n6boxiQj45oHcmDjtNMjh35sFWZX4PBt 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
14RKFqH45xYPMpW4KQ28RB6XtrZ8XpEM5i 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1494KLjiYyUKawJJAQ9MuTDG9DDMxFiahC 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
17na83aXEao3jfXJXEN4uuvchgAjg1Mw1S 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
19t7WpE7jM3APXAEw8yxhw33Gf1sGn171X 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1ARWCREnmdKyHgNg2c9qih8UzRr4MMQEQS 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
373z5gSK4fL9wszyDB5F47QgM3T7hQXSPN 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3JVBFLhw4SuneuCXPHbCCZGn8zmfqGWYz5 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
39v8NEiQmrz2neEUDNQVowcpuzixLSmCHt 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3Aqi7jbve7mPRYXaVWiHSKfcr2aZLeqZU6 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3GjMFECq9TLNqKc7vENretQU7VgdKiLBTx 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
36o76V2TKxXuHr6H9XRBTBrsaTurhw3Tkz 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
36UiV6sQJk7vEcAfHZzYkv8cH7HCbCZuDX 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
359gzyFdBo1gsfRMdbuMGuZu9CWphrpcMv 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3LGDmZdFARee5zrvSay7juRHjvrDHjKwiL 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
38uEUzAbWBKduMJW4swyt2qbZoSZFBzV6i 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
37BPk5sfWwpTKjKnRo4H9GvdoFLgcG3fct 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3Jar2U9ZMwHr2eYDQP56tpczXG5W6jQtQ1 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3BEPs74c7KPm4FG9nAxbSaSPMtNBN8D6vS 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
37NNbc2H77uZvugpNs83At2A7AnWf236QJ 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3DZE2TpFLEtGgBt3VxaHcgCKjYsKGLx4DV 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3EfikScbv9cR6ho6yvsKTFCd6HCHjJi8rs 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
379PCDt3hekuuoNw5TtXsh42a4Y3fBfkpQ 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
31npEJRgXp6Y6EBE2vpieJ9piNcuNJk2iM 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3K6LdP3sQyZwvjv5nrUpxdLe5vdAmHroKW 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
344pUP56enuGjbPdyubYEqoxB6VaFmD1Md 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
35Uay5K9CKvYAepLer3GJkPZriJaxvKhkS 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
35z7BVppgRCmGwsBZkV78QBuNn2Z673JBk 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3MKE9KEpxyMqdzkQyqZkAi6wyAwy7jiWa3 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
33pGeaghJeHZuGbjEeraDERzYVbMeeKSKw 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1BXZng4dcXDnYNRXRgHqWjzT5RwxHHBSHo 8   4.90K   4.90K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1Btud1pqADgGzgBCZzxzc2b1o1ytk1HYWC 8   4.90K   4.90K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1BvNwfxEQwZNRmYQ3eno6e976XyxhCsRXj 8   4.88K   4.88K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1Q4xhKp7hoWrabT7L1Hm2e9fafmCKnVSmx 8   4.82K   4.82K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1Miy5sJZSamDZN6xcJJidp9zYxhSrpDeJm 8   4.79K   4.79K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1KGge7Aaop3wiwY2EFUnxSyXu8FDn454VN 8   4.77K   4.77K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
 1aXzEKiDJKzkPxTZy9zGc3y1nCDwDPub2 8   2.70K   2.98K   -9.43    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
17GGGHWtyi7e1rxnEpcKpE7fHq1UZBguAb 8   4.70K   4.70K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
18gctMfqN5nX54c5wN4XkigfWLp6wR9ZoD 8   4.69K   4.69K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1EP1Cdv2Kx55pRGVQhGpcGNRMoE39u33xZ 8   4.68K   4.68K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
15JUJo7hANwsLSAxBnQrZsMgLTfwHiu4C5 8   4.64K   4.64K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
35ty8iaSbWsj4YVkoHzs9pZMze6dapeoZ8 8   4.56K   4.88K   -6.59    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
16aEn4p6hK4FMpLtJGpoQZMZ946sDg1Z6n 8   4.50K   4.50K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
